player_id,player_name,team,position,sub_position,lineup_position,age,squad_selections,games_played,minutes_played,goals,assists,yellow_cards,red_cards,market_value_eur,height_cm,nationality,preferred_foot,highest_market_value_in_eur,contract_expiration_date
724520,Abde Ezzalzouli,Real Betis,Attack,Left Winger,Left Winger,23,16,32,1995,2,3,2,0,20000000,177.0,Morocco,right,20000000.0,2029-06-30 00:00:00
834764,Javi Guerra,Valencia,Midfield,Central Midfield,Central Midfield,22,21,0,0,0,0,0,0,20000000,187.0,Spain,right,20000000.0,2027-06-30 00:00:00
541555,Enzo Boyomo,Osasuna,Defender,Centre-Back,Centre-Back,23,22,37,3258,2,0,5,0,20000000,184.0,Cameroon,right,20000000.0,2029-06-30 00:00:00
616369,Ander Barrenetxea,Real Sociedad,Attack,Left Winger,Left Winger,23,14,0,0,0,0,0,0,20000000,175.0,Spain,right,20000000.0,2030-06-30 00:00:00
238407,Alexander Sørloth,Atletico Madrid,Attack,Centre-Forward,Centre-Forward,29,21,35,1561,20,2,4,0,20000000,195.0,Norway,left,25000000.0,2028-06-30 00:00:00
694928,Samuel Lino,Atletico Madrid,Attack,Left Winger,Left Winger,25,21,31,1560,3,4,3,0,20000000,177.0,Brazil,right,30000000.0,2029-12-31 00:00:00
303259,Dodi Lukébakio,Sevilla,Attack,Right Winger,Right Winger,27,18,38,3103,11,2,3,1,20000000,187.0,Belgium,left,25000000.0,2030-06-30 00:00:00
466794,Eric García,FC Barcelona,Defender,Centre-Back,Defensive Midfield,24,14,0,0,0,0,0,0,20000000,182.0,Spain,right,20000000.0,2026-06-30 00:00:00
527966,Andrei Rațiu,Rayo Vallecano,Defender,Right-Back,Right-Back,27,20,0,0,0,0,0,0,18000000,183.0,Romania,right,18000000.0,2030-06-30 00:00:00
555143,Arsen Zakharyan,Real Sociedad,Midfield,Attacking Midfield,Attacking Midfield,22,3,0,0,0,0,0,0,18000000,183.0,Russia,right,18000000.0,2029-06-30 00:00:00
295330,Kelechi Iheanacho,Sevilla,Attack,Centre-Forward,Centre-Forward,28,7,0,0,0,0,0,0,18000000,185.0,Nigeria,left,20000000.0,2024-06-30 00:00:00
687609,Isaac Romero,Sevilla,Attack,Centre-Forward,Centre-Forward,25,17,0,0,0,0,0,0,18000000,184.0,Spain,left,18000000.0,2028-06-30 00:00:00
340205,Gorka Guruzeta,Athletic Bilbao,Attack,Centre-Forward,Centre-Forward,28,17,0,0,0,0,0,0,18000000,188.0,Spain,right,18000000.0,2028-06-30 00:00:00
484988,Logan Costa,Villarreal,Defender,Centre-Back,Centre-Back,24,16,32,2586,2,1,3,0,18000000,190.0,Cape Verde,right,18000000.0,2030-06-30 00:00:00
459463,Cucho Hernández,Real Betis,Attack,Centre-Forward,Centre-Forward,26,5,15,1150,5,1,0,0,18000000,176.0,Colombia,right,18000000.0,2030-06-30 00:00:00
525299,Miguel Gutiérrez,Girona,Defender,Left-Back,Left-Back,23,11,0,0,0,0,0,0,17000000,180.0,Spain,left,25000000.0,2030-06-30 00:00:00
121483,Jan Oblak,Atletico Madrid,Goalkeeper,Goalkeeper,Goalkeeper,32,21,36,3240,0,0,0,0,17000000,188.0,Slovenia,right,100000000.0,2028-06-30 00:00:00
573775,Hugo Duro,Valencia,Attack,Centre-Forward,Centre-Forward,25,21,0,0,0,0,0,0,16000000,177.0,Spain,left,16000000.0,2028-06-30 00:00:00
348795,Giovani Lo Celso,Real Betis,Midfield,Central Midfield,Attacking Midfield,29,11,0,0,0,0,0,0,16000000,177.0,Argentina,left,50000000.0,2025-06-30 00:00:00
895334,Yarek Gasiorowski,Valencia,Defender,Centre-Back,Centre-Back,20,22,15,946,0,0,1,0,16000000,191.0,Spain,left,16000000.0,2030-06-30 00:00:00
38253,Robert Lewandowski,FC Barcelona,Attack,Centre-Forward,Centre-Forward,36,20,0,0,0,0,0,0,15000000,185.0,Poland,right,90000000.0,2026-06-30 00:00:00
676042,Juanlu Sánchez,Sevilla,Defender,Right-Back,Right-Back,21,18,32,1724,4,4,6,0,15000000,186.0,Spain,right,15000000.0,2029-06-30 00:00:00
424042,Nahuel Molina,Atletico Madrid,Defender,Right-Back,Right-Back,27,20,30,1581,0,3,1,0,15000000,175.0,Argentina,right,50000000.0,2027-06-30 00:00:00
822331,Omar El Hilali,Espanyol,Defender,Right-Back,Right-Back,21,18,36,3159,0,2,11,0,15000000,183.0,Morocco,right,15000000.0,2027-06-30 00:00:00
366930,Sergio Gómez,Real Sociedad,Defender,Left-Back,Left Winger,24,16,37,2745,2,5,4,0,15000000,171.0,Spain,left,20000000.0,2030-06-30 00:00:00
480763,Juan Foyth,Villarreal,Defender,Centre-Back,Centre-Back,27,6,19,1517,1,0,4,0,15000000,187.0,Argentina,right,25000000.0,2029-06-30 00:00:00
625047,Beñat Prados,Athletic Bilbao,Midfield,Central Midfield,Central Midfield,24,16,0,0,0,0,0,0,15000000,180.0,Spain,right,15000000.0,2031-06-30 00:00:00
341264,Fran García,Real Madrid,Defender,Left-Back,Left-Back,25,16,31,2174,0,2,0,0,15000000,169.0,Spain,left,18000000.0,2027-06-30 00:00:00
255901,Rodrigo De Paul,Atletico Madrid,Midfield,Central Midfield,Central Midfield,31,20,34,2112,3,5,7,0,15000000,180.0,Argentina,right,40000000.0,2029-12-31 00:00:00
1124005,Christantus Uche,Getafe,Attack,Centre-Forward,Centre-Forward,22,15,32,2415,4,6,7,1,15000000,190.0,Nigeria,both,15000000.0,2026-06-30 00:00:00
671915,Enzo Barrenechea,Valencia,Midfield,Defensive Midfield,Defensive Midfield,24,21,0,0,0,0,0,0,15000000,186.0,Argentina,right,15000000.0,2026-06-30 00:00:00
617060,Mika Mármol,Las Palmas,Defender,Centre-Back,Left-Back,24,16,0,0,0,0,0,0,15000000,181.0,Spain,left,15000000.0,2026-06-30 00:00:00
657430,Samú Costa,Mallorca,Midfield,Defensive Midfield,Defensive Midfield,24,17,32,2655,0,2,10,0,15000000,185.0,Portugal,left,15000000.0,2028-06-30 00:00:00
709969,Ilias Akhomach,Villarreal,Attack,Right Winger,Right Winger,21,9,0,0,0,0,0,0,15000000,175.0,Morocco,left,15000000.0,2026-06-30 00:00:00
381967,Albert Sambi Lokonga,Sevilla,Midfield,Central Midfield,Central Midfield,25,9,0,0,0,0,0,0,15000000,183.0,Belgium,right,16000000.0,2025-06-30 00:00:00
264372,Viktor Tsygankov,Girona,Attack,Right Winger,Right Winger,27,9,27,1921,2,5,1,0,15000000,178.0,Ukraine,left,30000000.0,2027-06-30 00:00:00
1076815,Javi Rodríguez,Celta Vigo,Defender,Centre-Back,Centre-Back,22,17,0,0,0,0,0,0,15000000,178.0,Spain,right,15000000.0,2028-06-30 00:00:00
617081,Diego López,Valencia,Attack,Right Winger,Right Winger,23,22,0,0,0,0,0,0,15000000,172.0,Spain,right,15000000.0,2029-06-30 00:00:00
707274,César Tárrega,Valencia,Defender,Centre-Back,Centre-Back,23,22,34,3027,2,1,7,0,15000000,194.0,Spain,right,15000000.0,2030-06-30 00:00:00
948279,Chema Andrés,Real Madrid,Midfield,Defensive Midfield,Defensive Midfield,20,2,2,10,0,0,0,0,15000000,190.0,Spain,right,15000000.0,2030-06-30 00:00:00
212862,Álex Remiro,Real Sociedad,Goalkeeper,Goalkeeper,Goalkeeper,30,16,36,3240,0,0,0,0,14000000,191.0,Spain,right,25000000.0,2027-06-30 00:00:00
357885,Pablo Fornals,Real Betis,Midfield,Attacking Midfield,Central Midfield,29,14,0,0,0,0,0,0,14000000,178.0,Spain,right,30000000.0,2029-06-30 00:00:00
849410,Valentín Barco,Sevilla,Defender,Left-Back,Central Midfield,20,7,0,0,0,0,0,0,13000000,170.0,Argentina,left,13000000.0,2025-06-30 00:00:00
355861,Arnaut Danjuma,Girona,Attack,Left Winger,Left Winger,28,11,0,0,0,0,0,0,13000000,178.0,Netherlands,right,50000000.0,2026-06-30 00:00:00
857818,Yáser Asprilla,Girona,Attack,Right Winger,Right Winger,21,10,27,1402,3,1,2,0,12000000,176.0,Colombia,left,18000000.0,2026-06-30 00:00:00
1061282,Assane Diao,Real Betis,Attack,Right Winger,Left Winger,19,13,0,0,0,0,0,0,12000000,185.0,Spain,right,15000000.0,2027-06-30 00:00:00
660438,Orri Óskarsson,Real Sociedad,Attack,Centre-Forward,Centre-Forward,20,11,23,937,3,0,1,0,12000000,186.0,Iceland,right,20000000.0,2030-06-30 00:00:00
537382,Bryan Gil,Girona,Attack,Left Winger,Left Winger,24,11,25,1734,3,3,4,0,12000000,175.0,Spain,left,30000000.0,2030-06-30 00:00:00
338425,Álex Berenguer,Athletic Bilbao,Attack,Left Winger,Left Winger,29,18,0,0,0,0,0,0,12000000,175.0,Spain,right,15000000.0,2027-06-30 00:00:00
735568,Natan,Real Betis,Defender,Centre-Back,Centre-Back,24,16,0,0,0,0,0,0,12000000,188.0,Brazil,left,13000000.0,2025-06-30 00:00:00
138927,Daniel Carvajal,Real Madrid,Defender,Right-Back,Right-Back,33,3,0,0,0,0,0,0,12000000,173.0,Spain,right,60000000.0,2025-06-30 00:00:00
353032,Omar Alderete,Getafe,Defender,Centre-Back,Centre-Back,28,16,33,2888,1,0,8,0,12000000,188.0,Paraguay,left,12000000.0,2029-06-30 00:00:00
711625,José Ángel Carmona,Sevilla,Defender,Right-Back,Right-Back,23,16,35,2954,0,0,11,0,12000000,184.0,Spain,right,12000000.0,2028-06-30 00:00:00
125781,Antoine Griezmann,Atletico Madrid,Attack,Second Striker,Second Striker,34,21,38,2482,8,7,2,0,11000000,176.0,France,left,150000000.0,2027-06-30 00:00:00
495621,Antonio Blanco,Alaves,Midfield,Defensive Midfield,Defensive Midfield,24,22,0,0,0,0,0,0,10000000,176.0,Spain,right,10000000.0,2027-06-30 00:00:00
203496,Nabil Fekir,Real Betis,Midfield,Attacking Midfield,Attacking Midfield,31,1,0,0,0,0,0,0,10000000,173.0,France,left,70000000.0,2026-06-30 00:00:00
408471,Javi Puado,Espanyol,Attack,Left Winger,Left Winger,27,18,0,0,0,0,0,0,10000000,177.0,Spain,right,10000000.0,2030-06-30 00:00:00
678406,Sergi Cardona,Villarreal,Defender,Left-Back,Left-Back,25,17,35,2955,1,7,11,0,10000000,186.0,Spain,both,10000000.0,2027-06-30 00:00:00
1018938,Jon Martín,Real Sociedad,Defender,Centre-Back,Centre-Back,19,16,13,900,0,1,2,0,10000000,187.0,Spain,right,10000000.0,2031-06-30 00:00:00
182904,Clément Lenglet,Atletico Madrid,Defender,Centre-Back,Centre-Back,30,20,0,0,0,0,0,0,10000000,186.0,France,left,60000000.0,2025-06-30 00:00:00
596122,Pep Chavarría,Rayo Vallecano,Defender,Left-Back,Left-Back,27,21,0,0,0,0,0,0,10000000,174.0,Spain,left,10000000.0,2030-06-30 00:00:00
488626,Jesús Areso,Osasuna,Defender,Right-Back,Right-Back,26,23,36,3089,0,3,9,0,10000000,182.0,Spain,right,12000000.0,2031-06-30 00:00:00
961087,Pablo García,Real Betis,Attack,Right Winger,Right Winger,19,1,3,36,0,0,0,0,10000000,175.0,Spain,left,10000000.0,2029-06-30 00:00:00
713644,Bryan Zaragoza,Osasuna,Attack,Left Winger,Left Winger,23,18,27,1852,1,6,4,0,10000000,164.0,Spain,right,12000000.0,2026-06-30 00:00:00
188888,Sheraldo Becker,Real Sociedad,Attack,Centre-Forward,Left Winger,30,13,0,0,0,0,0,0,10000000,180.0,Suriname,right,17000000.0,2026-06-30 00:00:00
826224,Arnau Martínez,Girona,Defender,Right-Back,Right-Back,22,14,0,0,0,0,0,0,10000000,182.0,Spain,right,15000000.0,2027-06-30 00:00:00
290249,Mauro Arambarri,Getafe,Midfield,Central Midfield,Central Midfield,29,16,34,2575,9,0,9,0,10000000,175.0,Uruguay,right,25000000.0,2028-06-30 00:00:00
937955,Héctor Fort,FC Barcelona,Defender,Right-Back,Right-Back,18,18,0,0,0,0,0,0,10000000,185.0,Spain,right,10000000.0,2026-06-30 00:00:00
953901,Santiago Mouriño,Alaves,Defender,Right-Back,Centre-Back,23,19,24,1812,0,1,7,0,10000000,186.0,Uruguay,right,10000000.0,2030-06-30 00:00:00
502722,Luka Sucic,Real Sociedad,Midfield,Central Midfield,Central Midfield,22,13,0,0,0,0,0,0,10000000,185.0,Croatia,left,20000000.0,2029-06-30 00:00:00
177467,Gerard Moreno,Villarreal,Attack,Centre-Forward,Centre-Forward,33,7,0,0,0,0,0,0,10000000,180.0,Spain,left,40000000.0,2027-06-30 00:00:00
607034,Akor Adams,Sevilla,Attack,Centre-Forward,Centre-Forward,25,1,0,0,0,0,0,0,10000000,190.0,Nigeria,right,12000000.0,2027-06-30 00:00:00
634131,Aimar Oroz,Osasuna,Midfield,Attacking Midfield,Attacking Midfield,23,23,37,2983,5,4,7,0,9000000,177.0,Spain,right,15000000.0,2029-06-30 00:00:00
212723,Djibril Sow,Sevilla,Midfield,Central Midfield,Central Midfield,28,14,0,0,0,0,0,0,9000000,184.0,Switzerland,right,22000000.0,2028-06-30 00:00:00
375382,André Almeida,Valencia,Midfield,Attacking Midfield,Attacking Midfield,25,21,0,0,0,0,0,0,9000000,176.0,Portugal,right,20000000.0,2029-06-30 00:00:00
292818,Jonathan Bamba,Celta Vigo,Attack,Left Winger,Left Winger,29,10,0,0,0,0,0,0,9000000,175.0,Cote d'Ivoire,right,25000000.0,2026-06-30 00:00:00
378293,Yangel Herrera,Girona,Midfield,Central Midfield,Central Midfield,27,10,29,2265,4,3,10,1,9000000,184.0,Venezuela,right,25000000.0,2030-06-30 00:00:00
892221,Hugo Sotelo,Celta Vigo,Midfield,Central Midfield,Central Midfield,21,17,24,1256,0,0,5,0,9000000,180.0,Spain,right,12000000.0,2028-06-30 00:00:00
255906,Scott McKenna,Las Palmas,Defender,Centre-Back,Centre-Back,28,15,0,0,0,0,0,0,9000000,189.0,Scotland,left,10000000.0,2027-06-30 00:00:00
266807,Ángel Correa,Atletico Madrid,Midfield,Attacking Midfield,Centre-Forward,30,19,31,784,4,1,3,1,9000000,171.0,Argentina,right,45000000.0,2030-06-30 00:00:00
355628,Igor Zubeldia,Real Sociedad,Defender,Centre-Back,Centre-Back,28,12,0,0,0,0,0,0,9000000,181.0,Spain,right,30000000.0,2029-06-30 00:00:00
888493,Alejo Veliz,Espanyol,Attack,Centre-Forward,Centre-Forward,21,20,0,0,0,0,0,0,9000000,186.0,Argentina,right,11000000.0,2025-06-30 00:00:00
336869,Marc Roca,Real Betis,Midfield,Defensive Midfield,Defensive Midfield,28,5,0,0,0,0,0,0,9000000,184.0,Spain,left,30000000.0,2029-06-30 00:00:00
345886,Rubén Vargas,Sevilla,Attack,Left Winger,Left Winger,26,7,0,0,0,0,0,0,9000000,179.0,Switzerland,right,13000000.0,2025-06-30 00:00:00
343052,Nicolas Pépé,Villarreal,Attack,Right Winger,Right Winger,30,12,0,0,0,0,0,0,8500000,183.0,Cote d'Ivoire,left,75000000.0,2026-06-30 00:00:00
517842,Aihen Muñoz,Real Sociedad,Defender,Left-Back,Left-Back,27,16,0,0,0,0,0,0,8000000,175.0,Spain,left,8000000.0,2027-06-30 00:00:00
461617,Rodrigo Riquelme,Atletico Madrid,Attack,Left Winger,Left Winger,25,20,16,507,0,1,0,0,8000000,174.0,Spain,right,25000000.0,2030-06-30 00:00:00
234811,Rui Silva,Real Betis,Goalkeeper,Goalkeeper,Goalkeeper,31,12,0,0,0,0,0,0,8000000,191.0,Portugal,left,15000000.0,2026-06-30 00:00:00
255488,Yeray Álvarez,Athletic Bilbao,Defender,Centre-Back,Centre-Back,30,12,0,0,0,0,0,0,8000000,182.0,Spain,right,30000000.0,2026-06-30 00:00:00
622988,Fran Pérez,Valencia,Attack,Right Winger,Right Winger,22,20,0,0,0,0,0,0,8000000,176.0,Spain,right,8000000.0,2026-06-30 00:00:00
634431,Beñat Turrientes,Real Sociedad,Midfield,Central Midfield,Central Midfield,23,12,21,940,0,0,4,0,8000000,181.0,Spain,right,20000000.0,2030-06-30 00:00:00
85288,Isco,Real Betis,Midfield,Attacking Midfield,Attacking Midfield,33,7,0,0,0,0,0,0,8000000,176.0,Spain,right,90000000.0,2027-06-30 00:00:00
